label,woonplaats,addressId,straatnaam,huisletter,huisnummer,huisnummer_toevoeging,geo
Oudekamp 12 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076620,Oudekamp,,12,,POINT (5.1262235369644 52.089032667958)
Oudekamp 16 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076622,Oudekamp,,16,,POINT (5.1263607425544 52.088886448109)
Prins Hendriklaan 64 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076673,Prins Hendriklaan,,64,,POINT (5.1484412197196 52.085008794949)
Prins Hendriklaan 68 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076674,Prins Hendriklaan,,68,,POINT (5.1486966326235 52.084928365351)
Prins Hendriklaan 70 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076675,Prins Hendriklaan,,70,,POINT (5.1487786289464 52.084900542347)
Prins Hendriklaan 74 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076676,Prins Hendriklaan,,74,,POINT (5.1490511667158 52.084806808319)
Prins Hendriklaan 76 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076677,Prins Hendriklaan,,76,,POINT (5.1491310557291 52.084777362962)
Prins Hendriklaan 78 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076678,Prins Hendriklaan,,78,,POINT (5.1493946239214 52.084745924286)
Prins Hendriklaan 82 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076679,Prins Hendriklaan,,82,,POINT (5.1494900529156 52.084713283311)
Prins Hendriklaan 84 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076680,Prins Hendriklaan,,84,,POINT (5.149570487806 52.084685357739)
